epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0937,2.30776,3.47398,1.74539,0.00241,0.72237,0.18107,0.06312,1.95028,3.93579,1.52606,0.00046,0.00046,0.00046
2,190.829,2.10462,2.53875,1.60221,0.00243,0.72776,0.09249,0.02616,2.04583,4.01898,1.63773,0.000921388,0.000921388,0.000921388
3,283.137,2.11324,2.52374,1.59019,0.33542,0.21833,0.21495,0.07214,2.17356,3.42333,1.71256,0.00136377,0.00136377,0.00136377
4,381.762,2.08353,2.29503,1.60172,0.6413,0.36927,0.43138,0.16893,2.039,2.78752,1.67134,0.00178714,0.00178714,0.00178714
5,475.991,2.08731,2.11738,1.59692,0.5712,0.40214,0.35981,0.14695,2.09361,2.73206,1.6668,0.0018416,0.0018416,0.0018416
6,568.986,2.07946,2.03901,1.64317,0.73514,0.1752,0.2269,0.10046,2.14466,3.73568,1.72784,0.001802,0.001802,0.001802
7,675.447,2.01322,1.8476,1.57393,0.64432,0.61186,0.59531,0.24156,2.04091,2.41823,1.61758,0.0017624,0.0017624,0.0017624
8,773.804,1.98259,1.76471,1.54272,0.40477,0.52291,0.47504,0.19784,2.19434,2.43504,1.76437,0.0017228,0.0017228,0.0017228
9,876.72,2.0336,1.69908,1.62043,0.71535,0.67116,0.69017,0.29054,1.97549,1.96606,1.6392,0.0016832,0.0016832,0.0016832
10,975.92,1.96033,1.63894,1.61984,0.66328,0.6106,0.65072,0.26981,1.96219,1.76226,1.58217,0.0016436,0.0016436,0.0016436
11,1073.72,1.9366,1.62959,1.54027,0.73634,0.61995,0.68817,0.26815,2.00874,1.64396,1.57557,0.001604,0.001604,0.001604
12,1174.53,1.91436,1.52914,1.51434,0.74515,0.62534,0.68802,0.26833,2.07609,1.79026,1.60957,0.0015644,0.0015644,0.0015644
13,1273.15,1.98618,1.56074,1.55324,0.66026,0.61186,0.67327,0.28783,1.93257,1.58699,1.5076,0.0015248,0.0015248,0.0015248
14,1370.38,1.91396,1.44446,1.47522,0.72775,0.68464,0.7061,0.31148,1.90901,1.49567,1.49643,0.0014852,0.0014852,0.0014852
15,1467.85,1.90722,1.40198,1.48057,0.75368,0.68733,0.72346,0.31619,1.85238,1.49994,1.48589,0.0014456,0.0014456,0.0014456
16,1567.44,1.90347,1.415,1.49329,0.7788,0.66846,0.70653,0.27729,1.93525,1.45063,1.50636,0.001406,0.001406,0.001406
17,1664.58,1.87292,1.38784,1.48002,0.70783,0.73854,0.72552,0.3195,1.8963,1.35099,1.49707,0.0013664,0.0013664,0.0013664
18,1759.02,1.85624,1.37786,1.46521,0.63514,0.66628,0.66767,0.30175,1.8394,1.48316,1.46055,0.0013268,0.0013268,0.0013268
19,1852.65,1.82511,1.40458,1.48304,0.67925,0.74204,0.75268,0.35863,1.8043,1.4765,1.45457,0.0012872,0.0012872,0.0012872
20,1945.63,1.85679,1.33833,1.47717,0.62838,0.68194,0.70066,0.33552,1.85047,1.35693,1.49037,0.0012476,0.0012476,0.0012476
21,2040.63,1.83256,1.30028,1.45859,0.71345,0.75202,0.7403,0.33836,1.88813,1.33202,1.45484,0.001208,0.001208,0.001208
22,2135.78,1.85948,1.31704,1.46626,0.74714,0.71968,0.76979,0.3491,1.86829,1.3169,1.48077,0.0011684,0.0011684,0.0011684
23,2229.74,1.81,1.32695,1.47673,0.77222,0.71278,0.77008,0.366,1.80238,1.30842,1.45652,0.0011288,0.0011288,0.0011288
24,2324.4,1.82397,1.26802,1.4609,0.63542,0.73854,0.72248,0.34154,1.78923,1.43431,1.44698,0.0010892,0.0010892,0.0010892
25,2416.38,1.82899,1.30066,1.45649,0.7423,0.77358,0.78774,0.37925,1.78482,1.31585,1.43704,0.0010496,0.0010496,0.0010496
26,2508.15,1.85783,1.28156,1.4414,0.77254,0.75067,0.76006,0.3574,1.80538,1.3449,1.44336,0.00101,0.00101,0.00101
27,2598.22,1.74845,1.21528,1.40693,0.7648,0.79759,0.79453,0.37536,1.74603,1.3053,1.4009,0.0009704,0.0009704,0.0009704
28,2688.36,1.76816,1.2126,1.40995,0.7206,0.78706,0.78994,0.37835,1.72662,1.25238,1.41617,0.0009308,0.0009308,0.0009308
29,2779.66,1.68561,1.19601,1.36829,0.75363,0.73585,0.80111,0.40449,1.69767,1.20486,1.38214,0.0008912,0.0008912,0.0008912
30,2869.5,1.73324,1.21372,1.38297,0.76394,0.78706,0.82349,0.36544,1.76191,1.20082,1.40439,0.0008516,0.0008516,0.0008516
31,2959.39,1.7451,1.21423,1.38691,0.81756,0.67116,0.78881,0.41414,1.6871,1.29526,1.37051,0.000812,0.000812,0.000812
32,3049.41,1.72715,1.19242,1.37369,0.72238,0.74933,0.79651,0.40513,1.7004,1.24984,1.4008,0.0007724,0.0007724,0.0007724
33,3139.73,1.68479,1.15112,1.36445,0.82513,0.75741,0.82459,0.41746,1.6794,1.20366,1.37253,0.0007328,0.0007328,0.0007328
34,3229.95,1.64944,1.13865,1.33979,0.7821,0.74496,0.80808,0.4309,1.67533,1.16872,1.37333,0.0006932,0.0006932,0.0006932
35,3321.64,1.70932,1.13969,1.3734,0.7175,0.78437,0.80194,0.41984,1.6965,1.19997,1.40617,0.0006536,0.0006536,0.0006536
36,3412.16,1.63703,1.15469,1.36298,0.7889,0.80582,0.82756,0.41794,1.65458,1.16759,1.39483,0.000614,0.000614,0.000614
37,3502.34,1.6795,1.11018,1.34983,0.77465,0.76907,0.81216,0.43499,1.6723,1.13845,1.3701,0.0005744,0.0005744,0.0005744
38,3593.05,1.65424,1.09272,1.34108,0.8039,0.81402,0.84708,0.43447,1.63784,1.09691,1.33562,0.0005348,0.0005348,0.0005348
39,3685.4,1.64846,1.14479,1.35271,0.88999,0.69542,0.83907,0.43373,1.62923,1.12974,1.35294,0.0004952,0.0004952,0.0004952
40,3775.49,1.64869,1.11824,1.3663,0.82321,0.80863,0.85657,0.44379,1.6524,1.10408,1.35802,0.0004556,0.0004556,0.0004556
41,3865.49,1.64495,1.09626,1.36133,0.77614,0.8037,0.84578,0.44764,1.63898,1.10964,1.35342,0.000416,0.000416,0.000416
42,3955.28,1.64255,1.08136,1.36003,0.81293,0.84338,0.87683,0.45161,1.63422,1.07481,1.33618,0.0003764,0.0003764,0.0003764
43,4045.25,1.64692,1.08981,1.3544,0.80142,0.84367,0.87499,0.45733,1.62252,1.0773,1.32456,0.0003368,0.0003368,0.0003368
44,4135.02,1.59567,1.05985,1.33945,0.79768,0.82894,0.86982,0.47152,1.58588,1.08176,1.30933,0.0002972,0.0002972,0.0002972
45,4225.3,1.63776,1.04874,1.36123,0.76378,0.81941,0.86623,0.47206,1.5798,1.07866,1.31291,0.0002576,0.0002576,0.0002576
46,4314.89,1.58272,1.03471,1.31999,0.78635,0.84097,0.87062,0.47871,1.5561,1.0616,1.30707,0.000218,0.000218,0.000218
47,4403.63,1.55057,1.05689,1.33345,0.80109,0.8248,0.87509,0.47864,1.53229,1.05176,1.2973,0.0001784,0.0001784,0.0001784
48,4492.8,1.55933,1.0636,1.333,0.81254,0.79447,0.87642,0.48773,1.53408,1.0449,1.29798,0.0001388,0.0001388,0.0001388
49,4583.73,1.55668,1.04225,1.32793,0.7773,0.83731,0.86696,0.48698,1.53978,1.04917,1.297,9.92e-05,9.92e-05,9.92e-05
50,4675.07,1.5217,1.0107,1.27558,0.80062,0.81941,0.87455,0.49154,1.53761,1.03777,1.29071,5.96e-05,5.96e-05,5.96e-05
