epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.866,2.02849,2.96328,1.62392,0.00297,0.8914,0.3884,0.14587,1.84121,3.55569,1.36139,0.000651852,0.000651852,0.000651852
2,371.033,1.95434,1.98053,1.5456,0.82353,0.53738,0.59639,0.24134,2.05424,2.83057,1.6091,0.00129241,0.00129241,0.00129241
3,551.227,1.96312,1.72124,1.54193,0.72741,0.69676,0.76454,0.32401,2.08587,2.22111,1.70977,0.00190657,0.00190657,0.00190657
4,730.649,1.96865,1.5165,1.55142,0.80439,0.70663,0.77518,0.33764,1.96572,1.6162,1.63523,0.0018812,0.0018812,0.0018812
5,911.282,2.00725,1.39887,1.58428,0.81192,0.79763,0.82843,0.35794,1.92174,1.57882,1.6628,0.0018416,0.0018416,0.0018416
6,1089.14,1.91472,1.23312,1.50931,0.83195,0.81698,0.81196,0.33683,1.93844,1.37915,1.6079,0.001802,0.001802,0.001802
7,1268.47,1.92308,1.20005,1.56495,0.85024,0.76072,0.84649,0.36669,1.94227,1.49122,1.6398,0.0017624,0.0017624,0.0017624
8,1448.79,1.91887,1.15178,1.53643,0.84723,0.80959,0.85946,0.38986,1.88842,1.12799,1.57582,0.0017228,0.0017228,0.0017228
9,1627.61,1.89234,1.10788,1.53929,0.88524,0.77249,0.85381,0.36359,1.99727,1.14152,1.6262,0.0016832,0.0016832,0.0016832
10,1808.51,1.83461,1.08368,1.49807,0.8346,0.77578,0.84535,0.37331,1.89451,1.11999,1.57276,0.0016436,0.0016436,0.0016436
11,1991.21,1.84774,1.08565,1.50418,0.83642,0.80774,0.84002,0.36873,1.96256,1.08795,1.65321,0.001604,0.001604,0.001604
12,2172.04,1.82715,1.00669,1.47078,0.85727,0.81523,0.86316,0.39476,1.86182,1.02755,1.55433,0.0015644,0.0015644,0.0015644
13,2355.03,1.85147,1.02625,1.52033,0.85944,0.80677,0.87081,0.39974,1.86416,1.08656,1.55837,0.0015248,0.0015248,0.0015248
14,2534.23,1.80877,1.00739,1.48858,0.82425,0.8136,0.85966,0.3571,1.93586,1.04798,1.59135,0.0014852,0.0014852,0.0014852
15,2713.37,1.81338,0.98436,1.4899,0.85628,0.8378,0.86143,0.39889,1.84076,1.01926,1.57474,0.0014456,0.0014456,0.0014456
16,2895.78,1.82715,1.02223,1.49689,0.84074,0.84139,0.86574,0.40267,1.84625,0.96719,1.55152,0.001406,0.001406,0.001406
17,3077.8,1.80437,0.9612,1.46567,0.88421,0.85084,0.88018,0.422,1.82902,0.92611,1.52946,0.0013664,0.0013664,0.0013664
18,3259.92,1.784,0.95308,1.44823,0.89875,0.82632,0.88305,0.43426,1.82911,0.92165,1.53358,0.0013268,0.0013268,0.0013268
19,3439.6,1.81574,0.96881,1.45164,0.89149,0.84626,0.87904,0.43042,1.82643,0.88969,1.51565,0.0012872,0.0012872,0.0012872
20,3619.96,1.8157,0.94794,1.45412,0.88996,0.86694,0.90688,0.42402,1.84819,0.9341,1.50098,0.0012476,0.0012476,0.0012476
21,3800.45,1.79187,0.94034,1.44153,0.88143,0.85979,0.89212,0.43316,1.79915,0.89594,1.51263,0.001208,0.001208,0.001208
22,3978.45,1.82919,0.9666,1.46536,0.84947,0.85614,0.88537,0.41407,1.81952,0.91095,1.49917,0.0011684,0.0011684,0.0011684
23,4159.21,1.75715,0.92568,1.4195,0.89983,0.87426,0.90583,0.43834,1.80516,0.87956,1.4726,0.0011288,0.0011288,0.0011288
24,4339.26,1.71919,0.90932,1.42282,0.88181,0.87447,0.89188,0.43985,1.79097,0.88928,1.52148,0.0010892,0.0010892,0.0010892
25,4519.21,1.73743,0.88155,1.42448,0.86751,0.89986,0.91017,0.42962,1.80998,0.85046,1.51339,0.0010496,0.0010496,0.0010496
26,4698.57,1.75842,0.88339,1.41272,0.91299,0.82793,0.90005,0.42902,1.77589,0.89618,1.48807,0.00101,0.00101,0.00101
27,4879.33,1.70148,0.86502,1.37478,0.87674,0.86276,0.90014,0.43615,1.80371,0.84239,1.48929,0.0009704,0.0009704,0.0009704
28,5059.39,1.71631,0.87924,1.41661,0.86475,0.86601,0.90351,0.44735,1.80991,0.86707,1.49718,0.0009308,0.0009308,0.0009308
29,5240.03,1.7505,0.87199,1.42244,0.93331,0.82906,0.91975,0.44108,1.7534,0.88781,1.47866,0.0008912,0.0008912,0.0008912
30,5422.44,1.7349,0.87077,1.3967,0.91331,0.81946,0.90146,0.4573,1.73161,0.84507,1.4585,0.0008516,0.0008516,0.0008516
